curva_i,curva_j,pearson,dtw
"(2, 2, 0)","(2, 2, 1)",0.05035257935747552,9.903339602349385
"(2, 2, 0)","(2, 2, 2)",0.19538129513079575,8.780834845961142
"(2, 2, 0)","(2, 2, 3)",-0.2568016519181046,8.872073255039616
"(2, 2, 0)","(2, 2, 4)",0.13935744761853522,11.705683532199451
"(2, 2, 0)","(2, 2, 5)",-0.11570379577113758,6.885034252871995
"(2, 2, 0)","(2, 2, 6)",-0.008387423028727858,11.2251480604053
"(2, 2, 0)","(2, 2, 7)",0.09215671785636909,15.046902871865887
"(2, 2, 0)","(2, 2, 8)",0.11624544701720173,15.99669141884251
"(2, 2, 0)","(2, 3, 0)",0.257289078010833,31.16672783474497
"(2, 2, 0)","(2, 3, 1)",0.02333421986978362,34.172995625023525
"(2, 2, 0)","(2, 3, 2)",0.12615436622797552,54.4119763627685
"(2, 2, 0)","(2, 3, 3)",0.16923432887587436,93.45485233045424
"(2, 2, 0)","(2, 3, 4)",-0.05582606507142738,54.82665092543567
"(2, 2, 0)","(2, 3, 5)",0.09694455302166712,23.46670260148859
"(2, 2, 0)","(2, 3, 6)",0.07046458384156046,75.13338687364214
"(2, 2, 0)","(2, 3, 7)",0.14602436696167123,26.17621622518134
"(2, 2, 0)","(2, 3, 8)",-0.014632551562609699,41.87336085420875
"(2, 2, 0)","(2, 4, 0)",0.2958141657782767,44.04856541890154
"(2, 2, 0)","(2, 4, 1)",0.0626437022107947,38.14142250642714
"(2, 2, 0)","(2, 4, 2)",0.07808501109328002,60.95179085767812
"(2, 2, 0)","(2, 4, 3)",0.19846548919286836,104.87197478860823
"(2, 2, 0)","(2, 4, 4)",-0.05140979084328197,61.09124635091708
"(2, 2, 0)","(2, 4, 5)",0.12027059234525775,26.233008645389013
"(2, 2, 0)","(2, 4, 6)",0.1970229291481662,85.7137718685691
"(2, 2, 0)","(2, 4, 7)",0.14350331254627044,28.548319437930857
"(2, 2, 0)","(2, 4, 8)",0.043734014986615694,46.862214376459185
"(2, 2, 0)","(2, 5, 0)",0.3035765597216214,39.94397442812762
"(2, 2, 0)","(2, 5, 1)",0.025677301300723432,36.675139918987526
"(2, 2, 0)","(2, 5, 2)",0.16552722820368432,59.74429026370412
"(2, 2, 0)","(2, 5, 3)",0.17354365698411847,108.99153373564828
"(2, 2, 0)","(2, 5, 4)",-0.050409057788034534,57.23316483380452
"(2, 2, 0)","(2, 5, 5)",0.11333308401602536,26.456488282754975
"(2, 2, 0)","(2, 5, 6)",0.13100388139240948,71.37554045658328
"(2, 2, 0)","(2, 5, 7)",0.11785463994093844,24.179288389560856
"(2, 2, 0)","(2, 5, 8)",0.14683256339447806,32.94187791967319
"(2, 2, 0)","(2, 6, 0)",0.19630870438313994,47.60581713804903
"(2, 2, 0)","(2, 6, 1)",0.05892768944322721,62.097682503914086
"(2, 2, 0)","(2, 6, 2)",0.06425913523611093,64.40319273061662
"(2, 2, 0)","(2, 6, 3)",0.27635757838351355,92.63507087619666
"(2, 2, 0)","(2, 6, 4)",-0.0027326835620656268,65.80905912177532
"(2, 2, 0)","(2, 6, 5)",-0.07589185187911957,36.93302269891549
"(2, 2, 0)","(2, 6, 6)",0.2593757524691321,88.01942376859745
"(2, 2, 0)","(2, 6, 7)",0.05935602598903414,39.00321074393755
"(2, 2, 0)","(2, 6, 8)",-0.018916118297529625,68.88800428409441
"(2, 2, 0)","(2, 7, 0)",0.23801151204328888,53.408093338750014
"(2, 2, 0)","(2, 7, 1)",0.06756000840676712,75.13532702205498
"(2, 2, 0)","(2, 7, 2)",0.03455465847454019,64.5951731506175
"(2, 2, 0)","(2, 7, 3)",0.23417939377406924,89.2454039482654
"(2, 2, 0)","(2, 7, 4)",0.010068695470355252,53.65860656909496
"(2, 2, 0)","(2, 7, 5)",-0.08674878360020198,39.4142284980981
"(2, 2, 0)","(2, 7, 6)",0.29933234840965295,93.88416807900668
"(2, 2, 0)","(2, 7, 7)",0.14263222066252965,41.59536545088785
"(2, 2, 0)","(2, 7, 8)",0.013576390290297254,71.06091253746754
"(2, 2, 0)","(2, 8, 0)",0.23807486955051146,55.15699665785229
"(2, 2, 0)","(2, 8, 1)",0.08644826011205378,74.32262430727248
"(2, 2, 0)","(2, 8, 2)",0.03817777345428502,66.23185453770193
"(2, 2, 0)","(2, 8, 3)",0.24176249900955535,101.23721587112404
"(2, 2, 0)","(2, 8, 4)",0.028937169904306205,54.35276437320359
"(2, 2, 0)","(2, 8, 5)",-0.05851949451874033,35.73702434469759
"(2, 2, 0)","(2, 8, 6)",0.27239172684884283,88.7626154671114
"(2, 2, 0)","(2, 8, 7)",0.13386720022262102,38.22810618258923
"(2, 2, 0)","(2, 8, 8)",0.01778833901331366,56.316058875220975
"(2, 2, 0)","(2, 9, 0)",0.3072309986255703,70.34855656661071
"(2, 2, 0)","(2, 9, 1)",0.08223539366755302,74.04396990900099
"(2, 2, 0)","(2, 9, 2)",0.06878421991503172,63.88364413412699
"(2, 2, 0)","(2, 9, 3)",0.40270432219868535,99.86622833556191
"(2, 2, 0)","(2, 9, 4)",0.005479094365302716,74.11771972447053
"(2, 2, 0)","(2, 9, 5)",-0.0890377003834925,40.02552092238517
"(2, 2, 0)","(2, 9, 6)",0.24636482452472477,104.9518820382815
"(2, 2, 0)","(2, 9, 7)",0.09845489206350667,54.311667101146625
"(2, 2, 0)","(2, 9, 8)",0.1273629037103866,66.09921869474616
"(2, 2, 0)","(3, 2, 0)",0.31318061898061,9.180268493050558
"(2, 2, 0)","(3, 2, 1)",-0.08484261827485808,17.019800220004576
"(2, 2, 0)","(3, 2, 2)",-0.001554680017133434,11.85504737486541
