curva_i,curva_j,pearson,dtw
"(2, 2, 0)","(2, 2, 1)",0.1892248,16.581065755337477
"(2, 2, 0)","(2, 2, 2)",-0.0850364,10.801971327513456
"(2, 2, 0)","(2, 2, 3)",0.24877472,13.497988441959023
"(2, 2, 0)","(2, 2, 4)",0.08527457,12.903133668005466
"(2, 2, 0)","(2, 2, 5)",-0.061480213,10.325492076575756
"(2, 2, 0)","(2, 2, 6)",0.16816922,14.157897543162107
"(2, 2, 0)","(2, 2, 7)",0.1440855,18.03474905528128
"(2, 2, 0)","(2, 2, 8)",0.13690136,26.82705671712756
"(2, 2, 0)","(2, 3, 0)",0.45928723,27.851090285927057
"(2, 2, 0)","(2, 3, 1)",0.10858884,32.07890576776117
"(2, 2, 0)","(2, 3, 2)",0.20862323,52.02131002955139
"(2, 2, 0)","(2, 3, 3)",0.23382051,78.72690990194678
"(2, 2, 0)","(2, 3, 4)",0.03443118,48.66855272836983
"(2, 2, 0)","(2, 3, 5)",-0.046766594,19.674523670226336
"(2, 2, 0)","(2, 3, 6)",0.21924248,58.56258577480912
"(2, 2, 0)","(2, 3, 7)",0.08499671,27.718761943280697
"(2, 2, 0)","(2, 3, 8)",-0.0021672696,40.67887429520488
"(2, 2, 0)","(2, 4, 0)",0.44227096,40.78765306249261
"(2, 2, 0)","(2, 4, 1)",0.1274206,47.92207805812359
"(2, 2, 0)","(2, 4, 2)",0.19761944,56.43635154515505
"(2, 2, 0)","(2, 4, 3)",0.27126953,84.94328685849905
"(2, 2, 0)","(2, 4, 4)",0.10019895,51.59920626692474
"(2, 2, 0)","(2, 4, 5)",-0.101228334,25.81126219034195
"(2, 2, 0)","(2, 4, 6)",0.23876636,58.36600175499916
"(2, 2, 0)","(2, 4, 7)",0.10529219,29.060984797775745
"(2, 2, 0)","(2, 4, 8)",0.024015386,46.139952294528484
"(2, 2, 0)","(2, 5, 0)",0.44684267,41.488872189074755
"(2, 2, 0)","(2, 5, 1)",0.1364345,38.046190021559596
"(2, 2, 0)","(2, 5, 2)",0.23755021,53.83448494458571
"(2, 2, 0)","(2, 5, 3)",0.27511698,83.84817240387201
"(2, 2, 0)","(2, 5, 4)",0.12567677,53.770958706736565
"(2, 2, 0)","(2, 5, 5)",-0.10024131,23.975831132382154
"(2, 2, 0)","(2, 5, 6)",0.20307194,53.55321306362748
"(2, 2, 0)","(2, 5, 7)",0.28782123,26.01006538234651
"(2, 2, 0)","(2, 5, 8)",0.07434615,39.70528433099389
"(2, 2, 0)","(2, 6, 0)",0.53016573,47.60372714698315
"(2, 2, 0)","(2, 6, 1)",0.24124846,52.875615023076534
"(2, 2, 0)","(2, 6, 2)",0.2843579,54.59261676482856
"(2, 2, 0)","(2, 6, 3)",0.4495644,83.21879087761045
"(2, 2, 0)","(2, 6, 4)",0.23747976,51.58897348865867
"(2, 2, 0)","(2, 6, 5)",-0.16739118,33.93650511093438
"(2, 2, 0)","(2, 6, 6)",0.38393572,63.476820070296526
"(2, 2, 0)","(2, 6, 7)",0.072930455,40.970315117388964
"(2, 2, 0)","(2, 6, 8)",0.060827877,67.91088347136974
"(2, 2, 0)","(2, 7, 0)",0.4940742,52.86771501600742
"(2, 2, 0)","(2, 7, 1)",0.27679017,62.26363268494606
"(2, 2, 0)","(2, 7, 2)",0.2301446,51.376006066799164
"(2, 2, 0)","(2, 7, 3)",0.39550886,77.23910688608885
"(2, 2, 0)","(2, 7, 4)",0.19096589,53.63026690483093
"(2, 2, 0)","(2, 7, 5)",-0.14165056,30.565820204094052
"(2, 2, 0)","(2, 7, 6)",0.41652974,61.37989217787981
"(2, 2, 0)","(2, 7, 7)",0.14426975,42.1379679441452
"(2, 2, 0)","(2, 7, 8)",0.05756818,75.85725382342935
"(2, 2, 0)","(2, 8, 0)",0.5189824,51.53322722762823
"(2, 2, 0)","(2, 8, 1)",0.27711648,61.381190806627274
"(2, 2, 0)","(2, 8, 2)",0.16516586,52.246326522901654
"(2, 2, 0)","(2, 8, 3)",0.46113914,79.47848742455244
"(2, 2, 0)","(2, 8, 4)",0.2054912,52.37282143905759
"(2, 2, 0)","(2, 8, 5)",-0.14479817,30.460883611813188
"(2, 2, 0)","(2, 8, 6)",0.4004625,60.16729010641575
"(2, 2, 0)","(2, 8, 7)",0.08338818,38.83647870272398
"(2, 2, 0)","(2, 8, 8)",0.05251291,62.756159760057926
"(2, 2, 0)","(2, 9, 0)",0.55599535,63.72937751561403
"(2, 2, 0)","(2, 9, 1)",0.24759,74.11925823241472
"(2, 2, 0)","(2, 9, 2)",0.14431764,54.54503570124507
"(2, 2, 0)","(2, 9, 3)",0.2049156,83.65848656371236
"(2, 2, 0)","(2, 9, 4)",0.079976365,59.71954912506044
"(2, 2, 0)","(2, 9, 5)",-0.11524949,35.91823353804648
"(2, 2, 0)","(2, 9, 6)",0.35392365,75.48157290741801
"(2, 2, 0)","(2, 9, 7)",0.20817916,51.039651706814766
"(2, 2, 0)","(2, 9, 8)",0.08052576,74.54311775788665
"(2, 2, 0)","(3, 2, 0)",0.38989082,13.547459736466408
